#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1.40E+18,4.685573,-1.784531,0.859778,0.544275,-0.152041,-0.819501,-0.095315,-0.032446,0.006842,0.797003,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.099134702,0.337197611,0.018849556,8.401030167,-0.228821833,-3.669321542
1.40E+18,4.685412,-1.784501,0.863755,0.544867,-0.151968,-0.819076,-0.095706,-0.031824,0.005358,0.793636,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.091455253,0.331612558,0.016755161,8.204897167,-0.130755333,-3.685665958
1.40E+18,4.685256,-1.784477,0.867713,0.545458,-0.151878,-0.818655,-0.096084,-0.030659,0.004013,0.789761,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.084473936,0.334405085,0.013264502,8.155863917,-0.089894292,-3.734699208
1.40E+18,4.685107,-1.78446,0.871652,0.54605,-0.151766,-0.818238,-0.096455,-0.029104,0.002803,0.785874,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.075398224,0.330914426,0.00418879,8.164036125,-0.016344417,-3.77556025
1.40E+18,4.684966,-1.784448,0.875572,0.546629,-0.151625,-0.817834,-0.096825,-0.027239,0.002019,0.78192,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.072605697,0.323234977,-0.006981317,8.123175083,0.122583125,-3.751043625
1.40E+18,4.684834,-1.784438,0.879471,0.54719,-0.151458,-0.817446,-0.097201,-0.025312,0.001818,0.777626,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.069115038,0.314857397,-0.019547688,8.074141833,0.220649625,-3.644804917
1.40E+18,4.684712,-1.784429,0.883348,0.547733,-0.151265,-0.817072,-0.097593,-0.023681,0.001961,0.773114,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.071907565,0.308574212,-0.033510322,8.115002875,0.220649625,-3.546738417
1.40E+18,4.684597,-1.784418,0.887202,0.548263,-0.151059,-0.816707,-0.097991,-0.02244,0.002264,0.768599,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.069115038,0.305083553,-0.03281219,8.147691708,0.236994042,-3.465016333
1.40E+18,4.684487,-1.784407,0.891033,0.548796,-0.150852,-0.816342,-0.098367,-0.021454,0.002415,0.763828,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.055850536,0.306479817,-0.02443461,8.057797417,0.138927542,-3.415983083
1.40E+18,4.684381,-1.784396,0.89484,0.549339,-0.150658,-0.815973,-0.098696,-0.020822,0.001929,0.75877,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.043982297,0.30787608,-0.002792527,8.065969625,-0.040861042,-3.358777625
1.40E+18,4.684278,-1.784389,0.89862,0.54989,-0.150482,-0.815602,-0.098966,-0.02059,0.000786,0.753454,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.023736478,0.304385422,0.014660766,7.99241975,-0.155271958,-3.301572167
1.40E+18,4.684175,-1.784389,0.902373,0.550455,-0.150307,-0.815228,-0.09918,-0.020654,-0.000657,0.747626,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.006981317,0.310668607,0.023736478,7.910697667,-0.187960792,-3.195333458
1.40E+18,4.684071,-1.784396,0.906096,0.551031,-0.150133,-0.81485,-0.09935,-0.020946,-0.002288,0.741713,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.005585054,0.308574212,0.036302848,7.99241975,-0.253338458,-3.211677875
1.40E+18,4.683965,-1.784412,0.90979,0.551607,-0.14997,-0.814476,-0.09947,-0.021151,-0.004025,0.736043,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.020943951,0.301592895,0.051661746,7.99241975,-0.212477417,-3.252538917
1.40E+18,4.683859,-1.784436,0.913456,0.552176,-0.149831,-0.814108,-0.099537,-0.021227,-0.005509,0.730226,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.029321531,0.293215314,0.074700092,7.9433865,-0.138927542,-3.178989042
1.40E+18,4.683753,-1.784466,0.917092,0.552739,-0.149731,-0.813742,-0.099555,-0.021328,-0.006698,0.724049,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.034906585,0.287630261,0.09843657,7.886181042,-0.106238708,-3.129955792
1.40E+18,4.683646,-1.784502,0.920697,0.553298,-0.149681,-0.813376,-0.099524,-0.021491,-0.007571,0.71811,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.039095375,0.280648944,0.127758101,8.065969625,-0.032688833,-3.129955792
1.40E+18,4.683538,-1.784541,0.924275,0.553858,-0.149685,-0.813003,-0.09945,-0.021649,-0.008079,0.71313,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.038397244,0.282045207,0.153588974,8.270274833,0.024516625,-3.203505667
1.40E+18,4.683429,-1.784582,0.927831,0.554435,-0.149725,-0.812615,-0.099351,-0.021861,-0.00839,0.709046,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.040491639,0.292517183,0.166155345,8.425546792,0.024516625,-3.195333458
1.40E+18,4.68332,-1.784624,0.931368,0.555032,-0.14977,-0.812212,-0.099247,-0.02183,-0.008526,0.705704,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.039793507,0.300894763,0.161966555,8.5317855,0.114410917,-3.350605417
1.40E+18,4.683212,-1.784666,0.934889,0.555635,-0.14979,-0.811806,-0.099162,-0.021203,-0.008121,0.702761,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.040491639,0.302291026,0.142418867,8.5317855,0.302371708,-3.366949833
1.40E+18,4.683109,-1.784704,0.938395,0.556238,-0.149766,-0.811404,-0.099111,-0.020138,-0.007013,0.699566,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.03700098,0.306479817,0.117286126,8.425546792,0.433127042,-3.350605417
1.40E+18,4.683012,-1.784735,0.941884,0.55683,-0.149687,-0.811014,-0.099109,-0.018765,-0.005465,0.696021,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.033510322,0.2994985,0.083077672,8.392857958,0.506676917,-3.342433208
1.40E+18,4.682922,-1.784757,0.945354,0.557393,-0.149563,-0.810644,-0.099152,-0.016988,-0.003476,0.692226,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.025830873,0.288328392,0.063529985,8.311135875,0.653776667,-3.375122042
1.40E+18,4.682843,-1.784769,0.948805,0.557929,-0.149423,-0.810293,-0.099225,-0.014987,-0.001071,0.688253,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.018849556,0.278554549,0.054454273,8.327480292,0.694637708,-3.317916583
1.40E+18,4.682772,-1.784769,0.952237,0.558449,-0.149276,-0.80995,-0.099325,-0.013233,0.001162,0.684302,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.010471976,0.277158285,0.045378561,8.351996917,0.555710167,-3.293399958
1.40E+18,4.682709,-1.784758,0.955649,0.558956,-0.149126,-0.809612,-0.09945,-0.01179,0.002961,0.68041,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.002792527,0.271573232,0.038397244,8.376513542,0.4903325,-3.252538917
1.40E+18,4.682653,-1.78474,0.95904,0.559453,-0.14897,-0.80928,-0.099592,-0.010781,0.004433,0.676279,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,0.002094395,0.2708751,0.033510322,8.311135875,0.375921583,-3.129955792
1.40E+18,4.6826,-1.784715,0.96241,0.559958,-0.148809,-0.808942,-0.099742,-0.010239,0.005589,0.671722,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.000698132,0.280648944,0.03281219,8.270274833,0.310543917,-3.048233708
1.40E+18,4.68255,-1.784685,0.965757,0.560474,-0.148665,-0.808592,-0.0999,-0.009877,0.006474,0.666812,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.009773844,0.282743339,0.043284165,8.196724958,0.253338458,-3.031889292
1.40E+18,4.682501,-1.784651,0.969077,0.560989,-0.148562,-0.808237,-0.100047,-0.009755,0.007133,0.661282,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593,-0.012566371,0.277856417,0.064228116,8.065969625,0.196133,-2.884789542
1.40E+18,4.681865,-1.784123,0.972464,0.561497,-0.148517,-0.807856,-0.100164,-0.016908,0.013274,0.656107,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.018849556,0.278554549,0.09843657,7.967903125,0.106238708,-2.778550833
1.40E+18,4.681779,-1.784057,0.975728,0.562019,-0.148562,-0.807476,-0.100238,-0.017519,0.013286,0.649649,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.023736478,0.277158285,0.141022604,8.025108583,0,-2.79489525
1.40E+18,4.68169,-1.783991,0.978961,0.562553,-0.148696,-0.807075,-0.100272,-0.018157,0.013082,0.643497,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.034208453,0.284139602,0.178023584,8.082314042,0.016344417,-2.819411875
1.40E+18,4.681598,-1.783925,0.982164,0.563113,-0.148903,-0.806645,-0.100283,-0.018736,0.013117,0.637814,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.039793507,0.298102236,0.203854457,8.213069375,0.089894292,-2.827584083
1.40E+18,4.681503,-1.783859,0.98534,0.563705,-0.14917,-0.806183,-0.100278,-0.019178,0.013237,0.632558,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.050265482,0.312763002,0.230383461,8.237586,0.057205458,-2.89296175
1.40E+18,4.681407,-1.783794,0.98849,0.564328,-0.149483,-0.80569,-0.100275,-0.019384,0.013121,0.627241,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.060039326,0.328121899,0.23806291,8.155863917,0.024516625,-2.909306167
1.40E+18,4.68131,-1.783729,0.991611,0.564973,-0.14981,-0.805178,-0.100271,-0.019292,0.012809,0.62133,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.055850536,0.335103216,0.244346095,7.976075333,0.016344417,-2.917478375
1.40E+18,4.681215,-1.783666,0.994702,0.56563,-0.150136,-0.804659,-0.100255,-0.018687,0.012396,0.615082,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.050265482,0.337197611,0.245044227,7.967903125,0.04903325,-3.031889292
1.40E+18,4.681125,-1.783604,0.997763,0.566296,-0.150447,-0.804135,-0.100233,-0.017381,0.012103,0.609309,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.044680429,0.342782665,0.238761042,8.082314042,0.14709975,-3.18716125
1.40E+18,4.681043,-1.783544,1.000796,0.566964,-0.150733,-0.803615,-0.100204,-0.015375,0.01208,0.603856,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.034208453,0.339292007,0.231081593,8.025108583,0.236994042,-3.260711125
1.40E+18,4.680973,-1.783483,1.003802,0.567634,-0.150985,-0.803099,-0.100172,-0.012814,0.012248,0.598424,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.026529005,0.344178928,0.218515222,8.041453,0.286027292,-3.334261
1.40E+18,4.680916,-1.783421,1.006781,0.568303,-0.15119,-0.802591,-0.100146,-0.009829,0.012743,0.593188,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.016057029,0.339292007,0.19687314,8.074141833,0.408610417,-3.366949833
1.40E+18,4.680875,-1.783355,1.009733,0.568963,-0.151336,-0.802097,-0.100137,-0.006701,0.013688,0.587907,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.010471976,0.338593875,0.170344135,8.041453,0.465815875,-3.293399958
1.40E+18,4.680848,-1.783284,1.012659,0.569617,-0.151419,-0.801616,-0.100146,-0.003833,0.014769,0.582235,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.001396263,0.33649948,0.146607657,7.976075333,0.416782625,-3.178989042
1.40E+18,4.680836,-1.783207,1.015555,0.570258,-0.151443,-0.801154,-0.100169,-0.001257,0.01595,0.576209,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.006981317,0.328820031,0.122871179,7.959730917,0.457643667,-3.105439167
1.40E+18,4.680835,-1.783124,1.01842,0.570891,-0.151428,-0.800702,-0.100201,0.00112,0.01728,0.569879,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.013962634,0.330216294,0.115191731,7.902525458,0.44129925,-3.023717083
1.40E+18,4.680846,-1.783034,1.021253,0.571525,-0.151399,-0.800251,-0.100237,0.003345,0.018518,0.563118,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.010471976,0.331612558,0.112399204,7.820803375,0.400438208,-2.982856042
1.40E+18,4.680868,-1.782939,1.024051,0.572164,-0.151375,-0.799794,-0.10028,0.005477,0.01958,0.556176,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.006981317,0.335801348,0.115889862,7.84532,0.359577167,-2.966511625
1.40E+18,4.680901,-1.782839,1.026814,0.572808,-0.151365,-0.799328,-0.100331,0.007421,0.020415,0.5492,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.000698132,0.339292007,0.119380521,7.828975583,0.286027292,-2.917478375
1.40E+18,4.680686,-1.782507,1.029575,0.573457,-0.151376,-0.798846,-0.100392,0.003669,0.025823,0.542408,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.009075712,0.343480797,0.128456233,7.714564667,0.179788583,-2.811239667
1.40E+18,4.680707,-1.782378,1.032268,0.574112,-0.151422,-0.798358,-0.100459,0.004898,0.025845,0.534598,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.021642083,0.346273324,0.138928208,7.706392458,0.057205458,-2.770378625
1.40E+18,4.680734,-1.78225,1.034921,0.574767,-0.151518,-0.79786,-0.100531,0.00576,0.025426,0.526708,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.034906585,0.344178928,0.159174028,7.714564667,-0.040861042,-2.705000958
1.40E+18,4.680764,-1.782124,1.037535,0.57542,-0.151674,-0.797351,-0.100595,0.006245,0.024775,0.518924,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.046076692,0.344178928,0.182212374,7.788114542,-0.089894292,-2.655967708
1.40E+18,4.680795,-1.782003,1.040111,0.576086,-0.151882,-0.796825,-0.10065,0.006355,0.023789,0.511585,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.052359878,0.355349036,0.199665666,7.918869875,-0.228821833,-2.6477955
1.40E+18,4.680827,-1.781887,1.042653,0.576773,-0.15213,-0.796276,-0.100689,0.006337,0.022384,0.505015,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.053756141,0.363028484,0.219213354,8.082314042,-0.277855083,-2.737689792
1.40E+18,4.680859,-1.781779,1.045163,0.577486,-0.15241,-0.795704,-0.100706,0.006551,0.020837,0.499027,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.052359878,0.376991118,0.235270383,8.115002875,-0.261510667,-2.79489525
1.40E+18,4.680894,-1.781678,1.047643,0.578238,-0.152704,-0.795102,-0.100702,0.007223,0.019408,0.493072,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.043982297,0.397935069,0.245044227,8.057797417,-0.179788583,-2.860272917
1.40E+18,4.680933,-1.781585,1.050093,0.579021,-0.152985,-0.794481,-0.100682,0.008627,0.018184,0.486872,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.034208453,0.404916386,0.238761042,7.959730917,-0.089894292,-2.966511625
1.40E+18,4.680982,-1.781496,1.052511,0.579807,-0.153233,-0.793863,-0.100662,0.010715,0.017246,0.48025,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.027227136,0.401425728,0.224100276,7.84532,0.016344417,-2.982856042
1.40E+18,4.681042,-1.781412,1.054894,0.580579,-0.153443,-0.793261,-0.100644,0.013264,0.016494,0.472871,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.019547688,0.390953752,0.210835774,7.641014792,0.040861042,-2.982856042
1.40E+18,4.681037,-1.78125,1.057242,0.581324,-0.153611,-0.792679,-0.100625,0.013346,0.01856,0.464929,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.007679449,0.37768925,0.193382481,7.559292708,0,-2.999200458
1.40E+18,4.681111,-1.781159,1.059546,0.582042,-0.153728,-0.792132,-0.100608,0.016326,0.017586,0.456704,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.002094395,0.363028484,0.171042267,7.567464917,0.024516625,-2.99102825
1.40E+18,4.681201,-1.781074,1.061809,0.582736,-0.153785,-0.791613,-0.100594,0.019358,0.016547,0.44854,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.017453293,0.354650904,0.148003921,7.583809333,-0.024516625,-3.007372667
1.40E+18,4.681305,-1.780995,1.064031,0.583419,-0.153772,-0.791115,-0.100582,0.022327,0.015264,0.440428,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.033510322,0.351858377,0.122173048,7.591981542,-0.081722083,-2.982856042
1.40E+18,4.681424,-1.780921,1.066213,0.584095,-0.153689,-0.790632,-0.100582,0.025209,0.014065,0.432061,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.043284165,0.351160246,0.097040306,7.510259458,-0.008172208,-2.909306167
1.40E+18,4.681557,-1.780853,1.06835,0.584769,-0.15355,-0.79016,-0.100596,0.027988,0.013199,0.422739,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.051661746,0.351160246,0.077492619,7.265093208,0.032688833,-2.762206417
1.40E+18,4.681703,-1.780789,1.070436,0.585439,-0.153366,-0.789696,-0.100628,0.03067,0.012495,0.411954,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.052359878,0.350462114,0.058643063,6.979065917,0.04903325,-2.655967708
1.40E+18,4.681864,-1.780728,1.072467,0.586092,-0.153154,-0.789245,-0.100685,0.033436,0.011759,0.400104,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.048869219,0.339990138,0.046076692,6.856482792,0.040861042,-2.6477955
1.40E+18,4.682038,-1.780671,1.074435,0.586716,-0.152929,-0.788814,-0.100773,0.036191,0.01094,0.38747,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.036302848,0.327423768,0.030717795,6.684866417,0.024516625,-2.549729
1.40E+18,4.682175,-1.780559,1.076336,0.587316,-0.152703,-0.788391,-0.100902,0.036552,0.012702,0.373743,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.021642083,0.324631241,0.023736478,6.537766667,-0.032688833,-2.459834708
1.40E+18,4.682364,-1.780499,1.078169,0.587898,-0.152498,-0.787976,-0.101062,0.038866,0.011436,0.359486,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,0.004886922,0.31625366,0.026529005,6.42335575,-0.114410917,-2.410801458
1.40E+18,4.682563,-1.780445,1.07993,0.588472,-0.152327,-0.787558,-0.101243,0.040923,0.009897,0.344597,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.00837758,0.320442451,0.034906585,6.317117042,-0.163444167,-2.312734958
1.40E+18,4.682772,-1.780401,1.081614,0.589045,-0.152188,-0.787133,-0.101429,0.042289,0.007944,0.328977,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.014660766,0.316951792,0.044680429,6.202706125,-0.359577167,-2.116601958
1.40E+18,4.682984,-1.780368,1.083218,0.589606,-0.152082,-0.78671,-0.101612,0.042773,0.005308,0.312974,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.023038346,0.309272343,0.057246799,6.235394958,-0.53936575,-2.026707667
1.40E+18,4.683198,-1.780348,1.084744,0.59016,-0.152009,-0.786287,-0.101781,0.042784,0.002415,0.297093,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.022340214,0.30787608,0.070511302,6.292600417,-0.523021333,-1.977674417
1.40E+18,4.683411,-1.780343,1.086189,0.590707,-0.151962,-0.785867,-0.101922,0.042515,-0.000329,0.28121,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.018151424,0.298102236,0.085870199,6.276256,-0.523021333,-1.887780125
1.40E+18,4.683623,-1.78035,1.087556,0.591244,-0.15194,-0.785453,-0.102034,0.042037,-0.002643,0.265288,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.016755161,0.293215314,0.09843657,6.32528925,-0.392266,-1.822402458
1.40E+18,4.683832,-1.780368,1.088842,0.591765,-0.151939,-0.78505,-0.102124,0.041657,-0.00416,0.249368,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.015358897,0.277856417,0.10681415,6.308944833,-0.212477417,-1.797885833
1.40E+18,4.68404,-1.78039,1.090049,0.592254,-0.151948,-0.78467,-0.102198,0.041529,-0.004854,0.233272,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.012566371,0.260403124,0.10681415,6.276256,-0.04903325,-1.765197
1.40E+18,4.684202,-1.78035,1.091162,0.592715,-0.151957,-0.784308,-0.102274,0.03954,-0.002245,0.216349,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.019547688,0.249931149,0.101927228,6.251739375,-0.008172208,-1.699819333
1.40E+18,4.6844,-1.780362,1.092203,0.593141,-0.151962,-0.783972,-0.102363,0.039454,-0.002211,0.199876,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075594,-0.020943951,0.22968533,0.092153385,6.22722275,0.024516625,-1.707991542
